0, {'customer': {'c_phone': 1, 'c_acctbal': 1, 'c_mktsegment': 0}, 'lineitem': {'l_quantity': 0, 'l_discount': 1, 'l_returnflag': 0, 'l_shipdate': 1, 'l_commitdate': 0, 'l_receiptdate': 0, 'l_shipinstruct': 0, 'l_shipmode': 1}, 'nation': {'n_name': 1}, 'orders': {'o_orderstatus': 0, 'o_orderdate': 1, 'o_comment': 0}, 'part': {'p_name': 1, 'p_brand': 0, 'p_type': 0, 'p_size': 1, 'p_container': 1}, 'partsupp': {'ps_availqty': 0, 'ps_supplycost': 0}, 'region': {'r_name': 0}, 'supplier': {'s_comment': 0}}, 2110.9612177614563
1, {'customer': {'c_phone': 0, 'c_acctbal': 1, 'c_mktsegment': 0}, 'lineitem': {'l_quantity': 1, 'l_discount': 0, 'l_returnflag': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1, 'l_shipinstruct': 0, 'l_shipmode': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderstatus': 0, 'o_orderdate': 1, 'o_comment': 0}, 'part': {'p_name': 0, 'p_brand': 0, 'p_type': 1, 'p_size': 1, 'p_container': 1}, 'partsupp': {'ps_availqty': 1, 'ps_supplycost': 0}, 'region': {'r_name': 1}, 'supplier': {'s_comment': 1}}, 2142.7684257576275
2, {'customer': {'c_phone': 0, 'c_acctbal': 1, 'c_mktsegment': 0}, 'lineitem': {'l_quantity': 1, 'l_discount': 0, 'l_returnflag': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1, 'l_shipinstruct': 0, 'l_shipmode': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderstatus': 0, 'o_orderdate': 1, 'o_comment': 0}, 'part': {'p_name': 0, 'p_brand': 0, 'p_type': 1, 'p_size': 1, 'p_container': 1}, 'partsupp': {'ps_availqty': 1, 'ps_supplycost': 0}, 'region': {'r_name': 1}, 'supplier': {'s_comment': 1}}, 2142.7684257576275
3, {'customer': {'c_phone': 0, 'c_acctbal': 1, 'c_mktsegment': 0}, 'lineitem': {'l_quantity': 1, 'l_discount': 0, 'l_returnflag': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1, 'l_shipinstruct': 0, 'l_shipmode': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderstatus': 0, 'o_orderdate': 1, 'o_comment': 0}, 'part': {'p_name': 0, 'p_brand': 0, 'p_type': 1, 'p_size': 1, 'p_container': 1}, 'partsupp': {'ps_availqty': 1, 'ps_supplycost': 0}, 'region': {'r_name': 1}, 'supplier': {'s_comment': 1}}, 2142.7684257576275
4, {'customer': {'c_phone': 0, 'c_acctbal': 1, 'c_mktsegment': 0}, 'lineitem': {'l_quantity': 1, 'l_discount': 0, 'l_returnflag': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1, 'l_shipinstruct': 0, 'l_shipmode': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderstatus': 0, 'o_orderdate': 1, 'o_comment': 0}, 'part': {'p_name': 0, 'p_brand': 0, 'p_type': 1, 'p_size': 1, 'p_container': 1}, 'partsupp': {'ps_availqty': 1, 'ps_supplycost': 0}, 'region': {'r_name': 1}, 'supplier': {'s_comment': 1}}, 2142.7684257576275
5, {'customer': {'c_phone': 0, 'c_acctbal': 1, 'c_mktsegment': 0}, 'lineitem': {'l_quantity': 1, 'l_discount': 0, 'l_returnflag': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1, 'l_shipinstruct': 0, 'l_shipmode': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderstatus': 0, 'o_orderdate': 1, 'o_comment': 0}, 'part': {'p_name': 0, 'p_brand': 0, 'p_type': 1, 'p_size': 1, 'p_container': 1}, 'partsupp': {'ps_availqty': 1, 'ps_supplycost': 0}, 'region': {'r_name': 1}, 'supplier': {'s_comment': 1}}, 2142.7684257576275
6, {'customer': {'c_phone': 0, 'c_acctbal': 1, 'c_mktsegment': 0}, 'lineitem': {'l_quantity': 1, 'l_discount': 0, 'l_returnflag': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1, 'l_shipinstruct': 0, 'l_shipmode': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderstatus': 0, 'o_orderdate': 1, 'o_comment': 0}, 'part': {'p_name': 0, 'p_brand': 0, 'p_type': 1, 'p_size': 1, 'p_container': 1}, 'partsupp': {'ps_availqty': 1, 'ps_supplycost': 0}, 'region': {'r_name': 1}, 'supplier': {'s_comment': 1}}, 2142.7684257576275
7, {'customer': {'c_phone': 0, 'c_acctbal': 1, 'c_mktsegment': 0}, 'lineitem': {'l_quantity': 1, 'l_discount': 0, 'l_returnflag': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1, 'l_shipinstruct': 0, 'l_shipmode': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderstatus': 0, 'o_orderdate': 1, 'o_comment': 0}, 'part': {'p_name': 0, 'p_brand': 0, 'p_type': 1, 'p_size': 1, 'p_container': 1}, 'partsupp': {'ps_availqty': 1, 'ps_supplycost': 0}, 'region': {'r_name': 1}, 'supplier': {'s_comment': 1}}, 2142.7684257576275
8, {'customer': {'c_phone': 0, 'c_acctbal': 1, 'c_mktsegment': 0}, 'lineitem': {'l_quantity': 1, 'l_discount': 0, 'l_returnflag': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1, 'l_shipinstruct': 0, 'l_shipmode': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderstatus': 0, 'o_orderdate': 1, 'o_comment': 0}, 'part': {'p_name': 0, 'p_brand': 0, 'p_type': 1, 'p_size': 1, 'p_container': 1}, 'partsupp': {'ps_availqty': 1, 'ps_supplycost': 0}, 'region': {'r_name': 1}, 'supplier': {'s_comment': 1}}, 2142.7684257576275
9, {'customer': {'c_phone': 0, 'c_acctbal': 1, 'c_mktsegment': 0}, 'lineitem': {'l_quantity': 1, 'l_discount': 0, 'l_returnflag': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1, 'l_shipinstruct': 0, 'l_shipmode': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderstatus': 0, 'o_orderdate': 1, 'o_comment': 0}, 'part': {'p_name': 0, 'p_brand': 0, 'p_type': 1, 'p_size': 1, 'p_container': 1}, 'partsupp': {'ps_availqty': 1, 'ps_supplycost': 0}, 'region': {'r_name': 1}, 'supplier': {'s_comment': 1}}, 2142.7684257576275
10, {'customer': {'c_phone': 0, 'c_acctbal': 1, 'c_mktsegment': 0}, 'lineitem': {'l_quantity': 1, 'l_discount': 0, 'l_returnflag': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1, 'l_shipinstruct': 0, 'l_shipmode': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderstatus': 0, 'o_orderdate': 1, 'o_comment': 0}, 'part': {'p_name': 0, 'p_brand': 0, 'p_type': 1, 'p_size': 1, 'p_container': 1}, 'partsupp': {'ps_availqty': 1, 'ps_supplycost': 0}, 'region': {'r_name': 1}, 'supplier': {'s_comment': 1}}, 2142.7684257576275
