0, {'customer': {}, 'lineitem': {'l_quantity': 0, 'l_extendedprice': 1, 'l_discount': 0, 'l_shipdate': 1, 'l_commitdate': 0, 'l_receiptdate': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderdate': 0}, 'part': {'p_brand': 0, 'p_type': 1, 'p_size': 0}, 'partsupp': {'ps_supplycost': 1}, 'region': {'r_name': 0}, 'supplier': {'s_name': 0}}, 2109.799736737569
1, {'customer': {}, 'lineitem': {'l_quantity': 0, 'l_extendedprice': 1, 'l_discount': 0, 'l_shipdate': 1, 'l_commitdate': 0, 'l_receiptdate': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderdate': 0}, 'part': {'p_brand': 0, 'p_type': 1, 'p_size': 0}, 'partsupp': {'ps_supplycost': 1}, 'region': {'r_name': 0}, 'supplier': {'s_name': 0}}, 2109.799736737569
2, {'customer': {}, 'lineitem': {'l_quantity': 1, 'l_extendedprice': 1, 'l_discount': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1}, 'nation': {'n_name': 0}, 'orders': {'o_orderdate': 0}, 'part': {'p_brand': 1, 'p_type': 1, 'p_size': 1}, 'partsupp': {'ps_supplycost': 1}, 'region': {'r_name': 0}, 'supplier': {'s_name': 0}}, 2112.743439060005
3, {'customer': {}, 'lineitem': {'l_quantity': 1, 'l_extendedprice': 1, 'l_discount': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1}, 'nation': {'n_name': 0}, 'orders': {'o_orderdate': 0}, 'part': {'p_brand': 1, 'p_type': 1, 'p_size': 1}, 'partsupp': {'ps_supplycost': 1}, 'region': {'r_name': 0}, 'supplier': {'s_name': 0}}, 2112.743439060005
4, {'customer': {}, 'lineitem': {'l_quantity': 1, 'l_extendedprice': 1, 'l_discount': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1}, 'nation': {'n_name': 0}, 'orders': {'o_orderdate': 0}, 'part': {'p_brand': 1, 'p_type': 1, 'p_size': 1}, 'partsupp': {'ps_supplycost': 1}, 'region': {'r_name': 0}, 'supplier': {'s_name': 0}}, 2112.743439060005
5, {'customer': {}, 'lineitem': {'l_quantity': 1, 'l_extendedprice': 1, 'l_discount': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1}, 'nation': {'n_name': 0}, 'orders': {'o_orderdate': 0}, 'part': {'p_brand': 1, 'p_type': 1, 'p_size': 1}, 'partsupp': {'ps_supplycost': 1}, 'region': {'r_name': 0}, 'supplier': {'s_name': 0}}, 2112.743439060005
6, {'customer': {}, 'lineitem': {'l_quantity': 1, 'l_extendedprice': 1, 'l_discount': 1, 'l_shipdate': 1, 'l_commitdate': 1, 'l_receiptdate': 1}, 'nation': {'n_name': 0}, 'orders': {'o_orderdate': 0}, 'part': {'p_brand': 1, 'p_type': 1, 'p_size': 1}, 'partsupp': {'ps_supplycost': 1}, 'region': {'r_name': 0}, 'supplier': {'s_name': 0}}, 2112.743439060005
7, {'customer': {}, 'lineitem': {'l_quantity': 0, 'l_extendedprice': 0, 'l_discount': 0, 'l_shipdate': 1, 'l_commitdate': 0, 'l_receiptdate': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderdate': 0}, 'part': {'p_brand': 0, 'p_type': 1, 'p_size': 1}, 'partsupp': {'ps_supplycost': 1}, 'region': {'r_name': 0}, 'supplier': {'s_name': 0}}, 2114.586940805715
8, {'customer': {}, 'lineitem': {'l_quantity': 0, 'l_extendedprice': 0, 'l_discount': 0, 'l_shipdate': 1, 'l_commitdate': 0, 'l_receiptdate': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderdate': 0}, 'part': {'p_brand': 0, 'p_type': 1, 'p_size': 1}, 'partsupp': {'ps_supplycost': 1}, 'region': {'r_name': 0}, 'supplier': {'s_name': 0}}, 2114.586940805715
9, {'customer': {}, 'lineitem': {'l_quantity': 0, 'l_extendedprice': 0, 'l_discount': 0, 'l_shipdate': 1, 'l_commitdate': 0, 'l_receiptdate': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderdate': 0}, 'part': {'p_brand': 0, 'p_type': 1, 'p_size': 1}, 'partsupp': {'ps_supplycost': 1}, 'region': {'r_name': 0}, 'supplier': {'s_name': 0}}, 2114.586940805715
10, {'customer': {}, 'lineitem': {'l_quantity': 0, 'l_extendedprice': 0, 'l_discount': 0, 'l_shipdate': 1, 'l_commitdate': 0, 'l_receiptdate': 0}, 'nation': {'n_name': 0}, 'orders': {'o_orderdate': 0}, 'part': {'p_brand': 0, 'p_type': 1, 'p_size': 1}, 'partsupp': {'ps_supplycost': 1}, 'region': {'r_name': 0}, 'supplier': {'s_name': 0}}, 2114.586940805715
